date,close,open,high,low,vol,amount,market,change_pct,ma5,ma10,ma20,ma60
1991-06-05,774.35,774.35,774.35,774.35,1650.0,1993.19,深市,-0.4333179036156931,782.45,792.947,812.4815,
1991-06-06,771.26,771.26,771.26,771.26,24.0,35.231,深市,-0.39904435978562747,778.456,788.714,808.5195,
1991-06-07,768.16,768.16,768.16,768.16,106.0,106.145,深市,-0.4019396831159483,774.518,784.574,804.6165,
1991-06-10,733.65,754.25,754.25,733.65,165.0,175.555,深市,-4.492553634659446,765.028,777.7909999999999,799.4159999999999,
1991-06-11,756.51,733.7,756.51,732.23,987.0,761.793,深市,3.115927213248826,760.7860000000001,773.644,795.491,
1991-06-12,753.06,755.26,758.21,751.41,1905.0,1650.44,深市,-0.4560415592655853,756.5279999999999,769.489,791.5169999999999,
1991-06-13,745.92,751.07,751.07,745.92,2389.0,2175.552,深市,-0.9481316229782433,751.4599999999999,764.958,787.31,
1991-06-14,735.67,743.2,743.2,734.2,2362.0,2081.145,深市,-1.3741419991419979,744.962,759.74,782.7075,
1991-06-17,721.0,716.99,721.18,715.14,2100.0,1808.67,深市,-1.9941006157652152,742.432,753.7299999999999,777.624,
1991-06-18,721.21,717.13,721.94,716.4,1485.0,1105.81,深市,0.02912621359223433,735.372,748.079,772.677,
1991-06-19,717.33,717.71,721.37,715.88,2312.0,1871.116,深市,-0.5379847755854761,728.226,742.3770000000001,767.662,
1991-06-20,710.12,714.18,714.18,707.56,2250.0,1665.7,深市,-1.0051161947778664,721.066,736.263,762.4884999999999,
1991-06-21,704.41,706.97,707.35,703.66,1802.0,1262.879,深市,-0.8040894496704865,714.8140000000001,729.888,757.231,
1991-06-24,689.79,694.2,696.76,687.18,2765.0,1894.975,深市,-2.0754958049999273,708.572,725.502,751.6465000000001,
1991-06-25,690.09,685.3,691.55,684.93,6183.0,3358.035,深市,0.04349149741227354,702.348,718.86,746.2520000000001,
1991-06-26,693.96,686.21,695.28,683.89,6566.0,3583.507,深市,0.5607964178585334,697.674,712.95,741.2194999999999,836.1436666666667
1991-06-27,694.9,690.66,697.46,687.67,8649.0,4827.769,深市,0.13545449305434332,694.63,707.848,736.403,831.2578333333332
1991-06-28,691.41,691.45,693.37,686.53,10643.0,5925.688,深市,-0.5022305367678781,692.03,703.4219999999999,731.581,826.3961666666667
1991-07-01,684.01,685.65,687.48,680.83,9795.0,5471.735,深市,-1.070276680985227,690.874,699.723,726.7265,821.4918333333334
1991-07-02,670.15,680.4,683.34,665.39,5667.0,3061.411,深市,-2.026286165406943,686.886,694.617,721.3480000000001,816.5181666666666
1991-07-03,669.06,666.81,671.95,660.93,8494.0,4369.82,深市,-0.1626501529508384,681.9060000000001,689.79,716.0835,811.607
1991-07-04,661.61,665.85,667.54,660.42,5252.0,2938.094,深市,-1.1135025259318976,675.2479999999999,684.939,710.601,806.6525
1991-07-05,652.38,659.38,660.66,648.22,6355.0,3521.849,深市,-1.3950816946539546,667.442,679.736,704.812,801.625
1991-07-08,628.45,640.79,641.41,623.23,6982.0,3212.87,深市,-3.6681075446825417,656.33,673.602,699.552,796.2773333333333
1991-07-09,611.99,620.78,620.78,603.04,8522.0,3380.915,深市,-2.6191423343145837,644.698,665.792,692.326,790.8108333333333
1991-07-10,614.92,609.63,617.19,607.64,7535.0,3378.398,深市,0.47876599290836985,633.87,657.8879999999999,685.4190000000001,785.4698333333333
1991-07-11,608.27,612.62,615.0,604.76,6137.0,2827.057,深市,-1.0814414883236756,623.202,649.225,678.5364999999999,780.0946666666666
1991-07-12,603.02,605.55,606.19,598.86,8516.0,3592.61,深市,-0.8631035559866551,613.33,640.3860000000001,671.904,774.7086666666668
1991-07-15,594.38,600.47,600.75,590.81,5966.0,2519.651,深市,-1.4327882988955598,606.516,631.423,665.5730000000001,769.2553333333333
1991-07-16,584.85,591.97,592.96,581.74,6642.0,2806.41,深市,-1.6033513913657926,601.088,622.893,658.7549999999999,763.7964999999999
1991-07-17,576.75,580.06,582.33,572.52,6772.0,2659.935,深市,-1.3849705052577654,593.454,613.662,651.726,758.2793333333333
1991-07-18,608.91,574.99,613.83,573.6,5936.0,2827.15,深市,5.576072821846556,593.582,608.392,646.6655000000001,753.3726666666666
1991-07-19,616.73,609.39,640.22,606.25,10972.0,6044.69,深市,1.2842620420095097,596.324,604.827,642.2815,748.6708333333333
1991-07-22,601.76,603.6,607.84,595.85,9914.0,4854.715,深市,-2.427318275420365,597.8,602.158,637.88,743.7941666666667
1991-07-23,601.9,598.45,605.82,594.92,8344.0,4491.86,深市,0.023265089072044276,601.21,601.149,633.4705,739.0686666666667
1991-07-24,598.81,598.47,600.09,594.65,4795.0,2309.843,深市,-0.5133743146702119,605.622,599.5379999999999,628.713,734.3658333333333
1991-07-25,594.61,596.7,598.01,591.05,6698.0,3087.32,深市,-0.7013910923331146,602.762,598.172,623.6985,729.6664999999999
1991-07-26,586.01,591.05,592.59,584.6,7019.0,3361.087,深市,-1.446326163367584,596.618,596.471,618.4285,724.8973333333334
1991-07-29,579.73,583.37,584.99,574.65,8783.0,3942.908,深市,-1.0716540673367247,592.212,595.0060000000001,613.2145,720.1703333333332
1991-07-30,577.15,577.29,578.4,570.02,5935.0,2577.083,深市,-0.44503475755955924,587.262,594.236,608.5645,715.4718333333333
1991-07-31,578.42,572.86,578.74,571.91,5875.0,2484.944,深市,0.22004678159923685,583.184,594.403,604.0325,710.8658333333334
1991-08-01,579.32,574.82,580.59,574.19,7379.0,3383.308,深市,0.15559627952008714,580.126,591.4440000000001,599.9179999999999,706.3461666666667
1991-08-02,577.96,576.39,579.74,574.81,5209.0,2432.494,深市,-0.23475799212870907,578.516,587.567,596.197,701.8751666666667
1991-08-05,578.18,578.71,579.8,575.77,5608.0,2525.48,深市,0.03806491798739042,578.2059999999999,585.2090000000001,593.6835,697.5504999999999
1991-08-06,576.83,575.97,578.91,573.75,5956.0,2625.415,深市,-0.23349130028709197,578.142,582.702,591.9255,693.2475
1991-08-07,576.33,575.48,577.42,574.39,5220.0,2395.865,深市,-0.08668065114505463,577.724,580.454,589.996,688.9773333333334
1991-08-08,574.52,575.75,576.07,573.52,4513.0,2123.03,深市,-0.3140561830895616,576.764,578.4449999999999,588.3085,684.7183333333335
1991-08-09,572.8,574.12,575.21,570.05,5492.0,2466.03,深市,-0.29938035229409854,575.732,577.124,586.7975,680.4696666666666
1991-08-12,572.79,573.74,574.51,571.01,5409.0,2297.04,深市,-0.001745810055864272,574.654,576.4300000000001,585.718,676.305
1991-08-13,571.4,571.71,573.02,570.94,5445.0,2422.085,深市,-0.24267183435464634,573.568,575.855,585.0455,672.1591666666667
1991-08-14,570.54,570.54,572.62,569.41,4146.0,1808.545,深市,-0.15050752537627554,572.41,575.067,584.7349999999999,668.0409999999999
1991-08-15,568.71,570.14,572.09,567.43,4454.0,2078.79,深市,-0.3207487643285156,571.2479999999999,574.0060000000001,582.725,663.9596666666667
1991-08-16,570.96,568.98,572.19,567.36,5992.0,2541.505,深市,0.3956322202880225,570.88,573.306,580.4365,659.9830000000001
1991-08-19,458.02,450.14,459.35,446.51,8585.0,7548.64,深市,-19.780720190556266,547.926,561.29,573.2495,654.2586666666666
1991-08-20,449.1,456.72,457.78,446.64,8210.0,5783.285,深市,-1.9475132090301606,523.466,548.517,565.6095,648.444
1991-08-21,445.99,448.14,448.86,439.33,9104.0,7869.05,深市,-0.6924961033177524,498.55600000000004,535.483,557.9685000000001,642.6336666666666
1991-08-22,437.26,443.66,446.2,434.29,8785.0,6957.865,深市,-1.9574429919953396,472.26599999999996,521.757,550.101,636.7341666666667
1991-08-23,435.63,434.5,438.28,425.9,8740.0,8560.975,深市,-0.3727759227919347,445.2,508.03999999999996,542.582,630.8638333333333
1991-08-26,441.41,443.05,444.7,437.68,9355.0,6733.045,深市,1.326814039437152,441.878,494.90199999999993,535.6659999999999,625.2023333333334
1991-08-27,437.08,439.6,441.3,434.73,9423.0,6029.785,深市,-0.9809474184998113,439.474,481.46999999999997,528.6625,619.525
1991-08-28,436.05,437.35,438.58,431.88,8386.0,6156.585,深市,-0.2356548000365999,437.486,468.021,521.5440000000001,613.8866666666667
1991-08-29,435.37,432.32,436.32,430.61,7021.0,5520.53,深市,-0.1559454191033205,437.108,454.687,514.3465,608.2885000000001
1991-08-30,433.77,432.65,435.3,431.34,7316.0,5407.875,深市,-0.3675035027677631,436.736,440.968,507.137,602.7153333333333
1991-09-02,431.79,431.03,432.86,425.82,9387.0,6344.265,深市,-0.45646310256586276,434.812,438.34499999999997,499.81749999999994,597.6843333333333
1991-09-03,429.33,430.07,432.61,425.48,12718.0,8262.89,深市,-0.569721392343514,433.262,436.36800000000005,492.44249999999994,592.2313333333334
1991-09-04,425.99,427.41,429.25,422.24,7834.0,4893.36,深市,-0.7779563505927789,431.25,434.36800000000005,484.9255,586.7801666666667
1991-09-05,419.58,423.2,424.37,414.21,11988.0,9960.98,深市,-1.5047301579849348,428.092,432.6,477.1785000000001,581.3411666666667
1991-09-06,402.5,414.52,415.45,397.67,11103.0,7749.4,深市,-4.0707374040707345,421.838,429.287,468.6635,575.7883333333334
1991-09-09,409.76,401.57,409.76,400.38,14013.0,11948.49,深市,1.8037267080745378,417.43199999999996,426.122,460.512,570.601
1991-09-10,410.44,407.04,412.64,403.32,11803.0,8841.58,深市,0.1659508004685728,413.654,423.45799999999997,452.46400000000006,565.4215
1991-09-11,417.53,407.98,418.12,407.05,11312.0,9482.93,深市,1.727414482019296,411.962,421.60600000000005,444.81350000000003,560.4248333333333
1991-09-12,419.04,416.57,420.12,414.44,10887.0,8225.14,深市,0.36165065983284617,411.854,419.97300000000007,437.33000000000004,555.5735
1991-09-13,418.51,417.66,419.53,413.4,13749.0,13497.365,深市,-0.12647957235586427,415.05600000000004,418.447,429.7075,550.8085
1991-09-16,413.86,414.03,415.56,409.68,7094.0,5221.91,深市,-1.1110845618981569,415.87600000000003,416.654,427.4995,546.2096666666667
1991-09-17,412.51,410.99,413.87,409.4,7639.0,6129.28,深市,-0.32619726477552957,416.28999999999996,414.9719999999999,425.66999999999996,541.5833333333334
1991-09-18,410.99,409.97,412.49,407.84,7539.0,5805.46,深市,-0.36847591573536675,414.98199999999997,413.47200000000004,423.91999999999996,536.8671666666667
1991-09-19,408.18,410.21,411.44,405.32,8784.0,7064.21,深市,-0.6837149322367897,412.81000000000006,412.332,422.466,532.0885
1991-09-20,407.54,406.91,409.21,405.38,5798.0,4818.48,深市,-0.15679357146356487,410.616,412.83600000000007,421.06149999999997,527.3573333333333
1991-09-23,408.43,406.77,408.43,406.34,5517.0,4424.045,深市,0.21838347156106774,409.53000000000003,412.703,419.4125,522.7643333333333
1991-09-24,406.96,407.38,408.02,405.43,4443.0,3274.165,深市,-0.3599147956810267,408.41999999999996,412.355,417.90650000000005,518.3778333333333
1991-09-25,409.03,405.78,411.97,404.84,7245.0,5012.36,深市,0.5086494987222245,408.02799999999996,411.505,416.55550000000005,514.0440000000001
1991-09-26,410.32,407.03,410.62,406.1,5162.0,3116.835,深市,0.31538028995428125,408.456,410.633,415.303,509.85583333333335
1991-09-27,413.78,410.34,415.96,408.82,7164.0,4543.27,深市,0.8432442971339382,409.704,410.15999999999997,414.3035,505.87916666666666
1991-10-03,442.05,417.56,452.45,416.63,12528.0,7830.215,深市,6.832133017545572,416.428,412.979,414.8165,502.7725
1991-10-04,438.35,445.18,446.24,432.71,16834.0,12043.84,深市,-0.8370093880782692,422.70599999999996,415.563,415.26750000000004,499.87850000000003
1991-10-07,491.26,445.51,492.51,444.58,22748.0,15719.9,深市,12.07026348808029,439.15200000000004,423.59000000000003,418.53100000000006,497.8175
1991-10-08,586.49,523.29,607.01,522.0,43434.0,36845.105,深市,19.384847127793847,474.38599999999997,441.421,426.8765,497.4545
1991-10-09,712.85,593.66,723.53,593.66,62164.0,53782.81,深市,21.545124384047476,534.2,471.95200000000006,442.39400000000006,499.28499999999997
1991-10-10,641.41,717.04,775.17,618.95,59729.0,55937.79,深市,-10.021743704846752,574.0719999999999,495.25,453.97650000000004,500.0688333333334
1991-10-11,667.99,634.4,676.18,539.87,53232.0,49823.52,深市,4.143995260441846,620.0,521.353,466.854,501.4545
1991-10-14,692.0,691.93,709.01,683.86,46443.0,44652.99,深市,3.594365185107562,660.148,549.65,480.57750000000004,503.37533333333334
1991-10-15,656.81,692.89,696.09,646.55,28066.0,25372.145,深市,-5.085260115606949,674.212,574.299,492.466,504.17366666666663
1991-10-16,648.78,659.2,659.5,632.3,27484.0,26230.38,深市,-1.2225757829509298,661.3979999999999,597.7990000000001,503.97950000000003,504.7078333333333
1991-10-17,672.13,646.93,672.98,642.69,36589.0,32638.84,深市,3.599062856438251,667.542,620.807,516.893,505.8806666666667
1991-10-18,675.86,673.64,697.23,669.15,31849.0,32701.385,深市,0.554952166991507,669.116,644.558,530.0605,507.11333333333334
1991-10-21,670.9,673.17,681.39,665.44,20252.0,21955.5,深市,-0.7338797975912192,664.896,662.5219999999999,543.056,508.3148333333333
1991-10-22,659.23,671.54,672.47,656.15,19334.0,20178.005,深市,-1.7394544641526233,665.3799999999999,669.796,555.6085,509.39183333333335
1991-10-23,665.87,658.18,667.23,648.67,22693.0,23376.985,深市,1.0072357143940724,668.798,665.0980000000001,568.525,510.7228333333333
1991-10-24,672.97,666.11,680.14,664.82,23272.0,25200.745,深市,1.066274197666206,668.966,668.254,581.752,512.2768333333333
1991-10-25,675.11,674.29,676.89,669.27,19435.0,20569.37,深市,0.31799337266147365,668.816,668.966,595.1595,513.9095
1991-10-28,707.92,680.83,721.57,673.92,25804.0,29911.255,深市,4.859948749092724,676.22,670.558,610.104,516.0678333333333
1991-10-29,725.95,708.25,745.3,707.67,33691.0,38326.57,深市,2.546897954571148,689.564,677.472,625.8855,518.5116666666667
1991-10-30,733.7,727.45,738.45,721.87,43214.0,42670.415,深市,1.067566636820727,703.13,685.9639999999999,641.8815000000001,521.1073333333334
1991-10-31,779.81,736.81,788.95,735.63,46058.0,48284.895,深市,6.28458498023714,724.498,696.7320000000001,658.7695,524.4678333333334
1991-11-01,833.8,783.42,854.63,783.42,46833.0,55593.245,深市,6.923481360844308,756.236,712.5260000000001,678.542,528.7506666666667
1991-11-04,918.11,840.56,925.97,839.92,56557.0,74690.56,深市,10.111537538978176,798.274,737.2470000000001,699.8844999999999,534.447
1991-11-05,919.05,921.24,972.63,909.35,61578.0,91362.95,深市,0.10238424589645856,836.894,763.229,716.5125,540.1891666666667
1991-11-06,879.2,920.76,922.04,827.08,59493.0,73516.145,深市,-4.335999129535928,865.9939999999999,784.562,724.83,545.2958333333333
1991-11-07,899.59,880.78,936.83,880.01,52840.0,74261.905,深市,2.3191537761601433,889.95,807.2239999999999,737.7389999999999,550.7425000000001
1991-11-08,914.82,901.81,918.49,879.55,61084.0,77393.135,深市,1.6929934748051823,906.1540000000001,831.195,750.0804999999999,556.4661666666667
1991-11-12,1122.72,969.51,1131.59,969.51,48030.0,80558.105,深市,22.72578212107299,947.076,872.675,771.6165,565.6691666666667
1991-11-13,1149.97,1124.42,1192.05,1124.42,58786.0,110415.865,深市,2.4271412284452065,993.26,915.077,796.2745,575.3568333333333
1991-11-14,1186.84,1152.56,1206.32,1149.7,49357.0,89229.695,深市,3.206170595754654,1054.788,960.391,823.1775,585.6215
1991-11-15,1142.06,1185.23,1202.38,1136.1,49917.0,93843.37,深市,-3.7730443867749597,1103.282,996.616,846.674,597.0221666666667
1991-11-18,917.6,1109.55,1109.55,895.86,40537.0,59338.375,深市,-19.653958636148705,1103.8380000000002,1004.9960000000001,858.7610000000001,604.8304999999999
1991-11-19,1065.5,918.13,1068.78,911.94,40645.0,65488.685,深市,16.11813426329556,1092.3939999999998,1019.735,878.491,615.1556666666667
1991-11-20,1062.21,1065.19,1109.49,1041.78,35967.0,62233.65,深市,-0.30877522290004844,1074.8419999999999,1034.051,898.64,625.5714999999999
1991-11-21,1009.91,1065.49,1068.11,983.85,26582.0,41734.46,深市,-4.9236968207793215,1039.456,1047.1219999999998,915.842,635.1428333333333
1991-11-22,1039.52,1011.42,1048.36,998.35,28322.0,46722.99,深市,2.9319444306918463,1018.948,1061.115,934.1695,645.1113333333332
1991-11-25,994.93,1036.06,1037.58,978.17,22684.0,34918.035,深市,-4.289479759889181,1034.414,1069.126,950.1605000000002,654.4088333333333
1991-11-26,929.58,997.34,997.77,921.12,32642.0,47774.72,深市,-6.568301287527756,1007.2299999999999,1049.8120000000001,961.2434999999999,662.6343333333333
1991-11-27,975.31,931.39,978.57,917.74,30672.0,46174.62,深市,4.919425977323089,989.85,1032.346,973.7115,671.6333333333332
1991-11-28,936.05,976.18,996.3,931.31,31169.0,49490.05,深市,-4.025386800094333,975.0779999999999,1007.2669999999998,983.8290000000001,680.0046666666666
