date,financing_balance,financing_purchase,financing_redeem,securities_lending_balance,securities_lending_sell,securities_lending_shares,margin_balance,market,margin_balance_change
2010-06-22,867189284.0,42295789.0,34563259.0,10065984.0,29900.0,0.0,877255268.0,沪市,0.9514152001903975
2010-06-23,842719148.0,47607058.0,72077194.0,8465580.0,44600.0,0.0,851184728.0,沪市,-2.9718305436268966
2010-06-24,866091036.0,47947796.0,24575908.0,8977774.0,55200.0,0.0,875068810.0,沪市,2.805981030242366
2010-06-25,877045659.0,30535042.0,19580419.0,9449157.0,139803.0,0.0,886494816.0,沪市,1.3057265748050106
2010-06-28,907046989.0,52375764.0,22374434.0,8937135.0,115300.0,0.0,915984124.0,沪市,3.326506536502971
2010-06-29,901933545.0,56320628.0,61434072.0,8772089.0,153911.0,0.0,910705634.0,沪市,-0.5762643545555557
2010-06-30,908521076.0,35114468.0,28526937.0,8247937.0,149700.0,0.0,916769013.0,沪市,0.6657891171012675
2010-07-01,928736463.0,42612154.0,22396767.0,9185768.0,123100.0,0.0,937922231.0,沪市,2.3073661631275
2010-07-02,946500624.0,55619277.0,37855116.0,9352154.0,123700.0,0.0,955852778.0,沪市,1.9117306752482799
2010-07-05,1035344028.0,118587870.0,29744466.0,9394483.0,104096.0,0.0,1044738511.0,沪市,9.299102858285568
2010-07-06,1057442951.0,59076920.0,36977997.0,9638251.0,116200.0,0.0,1067081202.0,沪市,2.1385916920602543
2010-07-07,1064383786.0,44925331.0,37984496.0,9798533.0,116400.0,0.0,1074182319.0,沪市,0.6654710987964663
2010-07-08,1102548838.0,65542507.0,27377455.0,10084050.0,126900.0,0.0,1112632888.0,沪市,3.579519818925636
2010-07-09,1170639291.0,157020933.0,88930480.0,11009953.0,141000.0,0.0,1181649244.0,沪市,6.202976448418629
2010-07-12,1222983113.0,122496033.0,70152211.0,11397184.0,51100.0,0.0,1234380297.0,沪市,4.462496232934576
2010-07-13,1311949508.0,122088757.0,33122362.0,11843759.0,92400.0,0.0,1323793267.0,沪市,7.2435512959261095
2010-07-14,1263477734.0,80227880.0,128699654.0,12064921.0,156700.0,0.0,1275542655.0,沪市,-3.6448751631246945
2010-07-15,1287501800.0,60785184.0,36761118.0,11102706.0,34500.0,0.0,1298604506.0,沪市,1.8080031200524704
2010-07-16,1319305043.0,47955270.0,16152027.0,11100827.0,63100.0,0.0,1330405870.0,沪市,2.4488875445192626
2010-07-19,1303905018.0,71278412.0,86678437.0,11856372.0,88900.0,0.0,1315761390.0,沪市,-1.1007528101180108
2010-07-20,1440850708.0,212954187.0,76008497.0,12001535.0,123700.0,0.0,1452852243.0,沪市,10.41912720968352
2010-07-21,1472317314.0,100091861.0,68625255.0,10765589.0,35000.0,0.0,1483082903.0,沪市,2.0807800755826777
2010-07-22,1498641789.0,89420614.0,63096139.0,10950510.0,21800.0,0.0,1509592299.0,沪市,1.7874520666630644
2010-07-23,1539431335.0,149445421.0,108655875.0,11236586.0,84000.0,0.0,1550667921.0,沪市,2.7209745324754175
2010-07-26,1551684452.0,71587341.0,59334224.0,12879111.0,194500.0,0.0,1564563563.0,沪市,0.8961068847699538
2010-07-27,1580807913.0,79519953.0,50396492.0,12761026.0,42300.0,0.0,1593568939.0,沪市,1.8538956604858603
2010-07-28,1583742413.0,108644824.0,105710324.0,12138814.0,110851.0,0.0,1595881227.0,沪市,0.14510122175517282
2010-07-29,1531824312.0,98484393.0,150402494.0,12045927.0,97800.0,0.0,1543870239.0,沪市,-3.259076372354619
2010-07-30,1552855454.0,92133368.0,71102226.0,11038366.0,27800.0,0.0,1563893820.0,沪市,1.2969730547413016
2010-08-02,1640972044.0,174443309.0,86326719.0,10476961.0,48800.0,0.0,1651449005.0,沪市,5.598537693562844
2010-08-03,1664552954.0,129466269.0,105885359.0,10911462.0,89600.0,0.0,1675464416.0,沪市,1.4542023960346206
2010-08-04,1709199891.0,126248395.0,81601458.0,8847500.0,72900.0,0.0,1718047391.0,沪市,2.5415624822198613
2010-08-05,1775576845.0,167459563.0,101082609.0,8153166.0,22700.0,0.0,1783730011.0,沪市,3.8230971010507986
2010-08-06,1802240599.0,111988470.0,85324716.0,8124270.0,57000.0,0.0,1810364869.0,沪市,1.493211295193042
2010-08-09,1841103737.0,125992494.0,87129356.0,9550619.0,121100.0,0.0,1850654356.0,沪市,2.2254898827248404
2010-08-10,1869121672.0,147571316.0,119553381.0,8994919.0,100400.0,0.0,1878116591.0,沪市,1.4839202637145554
2010-08-11,1903636176.0,94087853.0,59573349.0,8956495.0,31900.0,0.0,1912592671.0,沪市,1.8356730442194324
2010-08-12,1917657100.0,97853482.0,83832558.0,9417267.0,111600.0,0.0,1927074367.0,沪市,0.7571761734519455
2010-08-13,1946004866.0,104210434.0,75862668.0,9002846.0,52900.0,0.0,1955007712.0,沪市,1.449520863249587
2010-08-16,2011265809.0,163870333.0,98609390.0,9432818.0,68800.0,0.0,2020698627.0,沪市,3.360135849939816
2010-08-17,2052174441.0,137843946.0,96935314.0,8541510.0,43700.0,0.0,2060715951.0,沪市,1.9803707225461542
2010-08-18,2085438731.0,136209711.0,102945421.0,9108477.0,162900.0,0.0,2094547208.0,沪市,1.6417234497351663
2010-08-19,2111575425.0,204734599.0,178597905.0,10610725.0,133500.0,0.0,2122186150.0,沪市,1.3195664387240624
2010-08-20,2116441794.0,140901472.0,136035103.0,7995830.0,81260.0,0.0,2124437624.0,沪市,0.10609220119544016
2010-08-23,2141737847.0,113225964.0,87929911.0,8364909.0,116500.0,0.0,2150102756.0,沪市,1.208090635849146
2010-08-24,2213911577.0,143827323.0,71653593.0,9111951.0,105200.0,0.0,2223023528.0,沪市,3.3915017222553523
2010-08-25,2190791657.0,98774816.0,121894736.0,9046741.0,169156.0,0.0,2199838398.0,沪市,-1.0429547734413402
2010-08-26,2194536639.0,76108498.0,72363516.0,9607119.0,155600.0,0.0,2204143758.0,沪市,0.1957125579730823
2010-08-27,2220473978.0,88446491.0,62509152.0,9352048.0,23800.0,0.0,2229826026.0,沪市,1.165181168732099
2010-08-30,2285460219.0,177968857.0,112982616.0,8624182.0,71300.0,0.0,2294084401.0,沪市,2.881766301529387
2010-08-31,2307041382.0,154108208.0,132527045.0,10113191.0,255200.0,0.0,2317154573.0,沪市,1.0056374556203673
2010-09-01,2322415396.0,165106740.0,149732726.0,8972215.0,110300.0,0.0,2331387611.0,沪市,0.6142463763896711
2010-09-02,2367547449.0,198711616.0,153579563.0,7587947.0,95300.0,0.0,2375135396.0,沪市,1.8764698239618571
2010-09-03,2347176762.0,143306467.0,163677154.0,6786496.0,55200.0,0.0,2353963258.0,沪市,-0.8914076239887714
2010-09-06,2387662569.0,184925685.0,144439878.0,9436998.0,80100.0,0.0,2397099567.0,沪市,1.8324971238782073
2010-09-07,2414136562.0,134071867.0,107597874.0,8658064.0,115100.0,0.0,2422794626.0,沪市,1.0719228918871115
2010-09-08,2493160533.0,213749417.0,134725446.0,6860345.0,60900.0,0.0,2500020878.0,沪市,3.187486515417093
2010-09-09,2568993058.0,228372953.0,152540428.0,5937879.0,63600.0,0.0,2574930937.0,沪市,2.9963773366535884
2010-09-10,2568640986.0,103135866.0,103487938.0,6690296.0,96100.0,0.0,2575331282.0,沪市,0.015547795641723816
2010-09-13,2621304462.0,192569363.0,139905887.0,6631071.0,9700.0,0.0,2627935533.0,沪市,2.0426207442775013
2010-09-14,2618194471.0,122089778.0,125199769.0,5944824.0,32200.0,0.0,2624139295.0,沪市,-0.14445704441106155
2010-09-15,2614204191.0,128825123.0,132815403.0,5674825.0,17600.0,0.0,2619879016.0,沪市,-0.16234957527283544
2010-09-16,2631809132.0,129223608.0,111618667.0,5954733.0,33100.0,0.0,2637763865.0,沪市,0.6826593476559228
2010-09-17,2668066420.0,117420810.0,81163522.0,5944573.0,30600.0,0.0,2674010993.0,沪市,1.3741612159055006
2010-09-20,2736068769.0,127859806.0,59857457.0,6277730.0,48100.0,0.0,2742346499.0,沪市,2.5555431963027786
2010-09-21,2724501690.0,73780692.0,85347771.0,6292451.0,15500.0,0.0,2730794141.0,沪市,-0.4212581453223563
2010-09-27,2778508977.0,162672915.0,108665628.0,5760387.0,4500.0,0.0,2784269364.0,沪市,1.9582297397348958
2010-09-28,2795750305.0,142460313.0,125218985.0,5524300.0,1200.0,0.0,2801274605.0,沪市,0.6107613444257254
2010-09-29,2821582317.0,163401189.0,137569177.0,4995213.0,26200.0,0.0,2826577530.0,沪市,0.903264712243379
2010-09-30,2846908595.0,230489640.0,205163362.0,5757722.0,50300.0,0.0,2852666317.0,沪市,0.9229814757637289
2010-10-08,2879844623.0,352236845.0,319300817.0,8043235.0,116900.0,0.0,2887887858.0,沪市,1.2346884313143347
2010-10-11,2854342169.0,540431173.0,565933627.0,11346296.0,234200.0,0.0,2865688465.0,沪市,-0.7687068920804285
2010-10-12,2911633870.0,466185821.0,408894120.0,12313951.0,123100.0,0.0,2923947821.0,沪市,2.032996842174195
2010-10-13,2945491873.0,511670532.0,477812529.0,15999257.0,387000.0,0.0,2961491130.0,沪市,1.283993808998951
2010-10-14,3012610812.0,643408502.0,576289563.0,22358972.0,645300.0,0.0,3034969784.0,沪市,2.4811370615180683
2010-10-15,3074262298.0,763331295.0,701679809.0,20101316.0,669000.0,0.0,3094363614.0,沪市,1.9569825806213137
2010-10-18,3152329327.0,777043254.0,698976225.0,17962007.0,285274.0,0.0,3170291334.0,沪市,2.453742658311908
2010-10-19,3288583583.0,556393938.0,420139682.0,19002447.0,203621.0,0.0,3307586030.0,沪市,4.330664962162123
2010-10-20,3449163925.0,748459214.0,587878872.0,21142887.0,194000.0,0.0,3470306812.0,沪市,4.919623572119147
2010-10-21,3596853448.0,449387902.0,301698379.0,18477168.0,91500.0,0.0,3615330616.0,沪市,4.178990845954056
2010-10-22,3755121466.0,479643761.0,321375743.0,15181865.0,41300.0,0.0,3770303331.0,沪市,4.286543374875684
2010-10-25,3936580107.0,738284867.0,556826226.0,15947408.0,88900.0,0.0,3952527515.0,沪市,4.833143861442801
2010-10-26,4071030302.0,659869062.0,525418867.0,16896360.0,311600.0,0.0,4087926662.0,沪市,3.4256345208516503
2010-10-27,4269896802.0,614699304.0,415832804.0,13273825.0,427230.0,0.0,4283170627.0,沪市,4.776112223707996
2010-10-28,4324880974.0,447080074.0,392095902.0,11504878.0,307300.0,0.0,4336385852.0,沪市,1.2424259884615596
